,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
160,000063.SZ,20181219,19.2,19.35,18.91,19.02,19.1,-0.08000000000000185,-0.4188,556885.27,1064713.665
161,000063.SZ,20181218,19.01,19.39,18.91,19.1,19.25,-0.14999999999999858,-0.7792,624146.85,1192302.972
162,000063.SZ,20181217,19.65,19.71,18.83,19.25,19.65,-0.3999999999999986,-2.0356,975954.31,1867689.328
163,000063.SZ,20181214,20.01,20.09,19.6,19.65,20.2,-0.5500000000000007,-2.7228,787880.01,1561718.688
164,000063.SZ,20181213,20.01,20.38,19.78,20.2,20.0,0.1999999999999993,1.0,883211.27,1780996.069
165,000063.SZ,20181212,20.41,20.54,19.9,20.0,20.34,-0.33999999999999986,-1.6716,803589.53,1617164.916
166,000063.SZ,20181211,20.1,20.47,20.09,20.34,20.04,0.3000000000000007,1.497,937520.17,1899943.325
167,000063.SZ,20181210,19.6,20.3,19.55,20.04,19.99,0.05000000000000071,0.2501,893859.43,1787267.716
168,000063.SZ,20181207,20.06,20.35,19.91,19.99,19.89,0.09999999999999787,0.5028,991094.12,1994123.874
169,000063.SZ,20181206,19.88,20.29,19.5,19.89,21.09,-1.1999999999999993,-5.6899,2075563.61,4130673.33
170,000063.SZ,20181205,20.77,21.22,20.71,21.09,21.27,-0.17999999999999972,-0.8463,968131.9,2031617.256
171,000063.SZ,20181204,21.39,21.53,20.96,21.27,21.44,-0.1700000000000017,-0.7929,1244926.77,2645509.683
172,000063.SZ,20181203,21.28,21.65,20.8,21.44,19.87,1.5700000000000003,7.9014,2347594.23,4989895.434
173,000063.SZ,20181130,19.36,20.05,18.95,19.87,19.49,0.38000000000000256,1.9497,1282660.08,2509165.663
174,000063.SZ,20181129,20.6,20.83,19.31,19.49,20.56,-1.0700000000000003,-5.2043,2207829.19,4388281.301
175,000063.SZ,20181128,20.86,21.26,20.42,20.56,20.99,-0.4299999999999997,-2.0486,1225496.02,2561800.381
176,000063.SZ,20181127,20.66,21.09,20.44,20.99,20.43,0.5599999999999987,2.7411,1232057.26,2568457.39
177,000063.SZ,20181126,19.65,20.58,19.64,20.43,19.77,0.6600000000000001,3.3384,1059623.01,2141622.212
178,000063.SZ,20181123,20.36,20.58,19.66,19.77,20.46,-0.6900000000000013,-3.3724,1094974.63,2179917.013
179,000063.SZ,20181122,20.73,21.08,20.19,20.46,20.8,-0.33999999999999986,-1.6346,866099.01,1789372.53
180,000063.SZ,20181121,20.0,20.89,19.85,20.8,20.51,0.28999999999999915,1.4139,1145472.14,2357433.519
181,000063.SZ,20181120,21.4,21.55,20.2,20.51,21.73,-1.2199999999999989,-5.6144,1739148.36,3628693.022
182,000063.SZ,20181119,21.51,21.85,21.25,21.73,21.79,-0.05999999999999872,-0.2754,1362545.71,2936486.844
183,000063.SZ,20181116,20.3,21.88,20.18,21.79,20.2,1.5899999999999999,7.8713,2260769.36,4715054.702
184,000063.SZ,20181115,19.95,20.45,19.69,20.2,19.87,0.3299999999999983,1.6608,1413616.09,2846613.452
185,000063.SZ,20181114,20.21,20.59,19.81,19.87,20.3,-0.4299999999999997,-2.1182,1293922.58,2591478.432
186,000063.SZ,20181113,19.92,20.75,19.92,20.3,20.2,0.10000000000000142,0.495,1573358.34,3198947.676
