ts_code,start_date,pledge_price,forcast_close_line,close_date,current_ratio,quick_ratio,cash_ratio,inv_turn,ar_turn,ca_turn,netprofit_margin,grossprofit_margin,roe,debt_to_assets,op_yoy,ebt_yoy,assets_yoy,tr_yoy,or_yoy,q_gr_yoy,q_gr_qoq,q_sales_yoy,q_sales_qoq,q_op_yoy,q_op_qoq,q_profit_yoy,q_profit_qoq,revenue
000018.SZ,2017/5/12,7.4929,5.24503,2018/2/1,1.2424,1.1737,1.1439,10.9837,1.3777,0.7397,5.911,24.7921,19.3459,80.6291,-8.6467,-8.9586,46.1005,39.2739,39.2739,26.5834,9.1434,26.5834,9.1434,-96.7659,-95.8414,-123.4596,-127.6009,923442740.9
000018.SZ,2017/3/9,9.6281,6.73967,2017/12/12,1.2424,1.1737,1.1439,10.9837,1.3777,0.7397,5.911,24.7921,19.3459,80.6291,-8.6467,-8.9586,46.1005,39.2739,39.2739,26.5834,9.1434,26.5834,9.1434,-96.7659,-95.8414,-123.4596,-127.6009,923442740.9
000018.SZ,2016/11/17,10.206,7.1442,2017/5/24,1.2665,1.2229,1.193,7.31,0.7073,0.3722,9.2385,23.3211,14.385,78.7425,55.516,40.2013,19.1649,54.8486,54.8486,91.0003,85.4213,91.0003,85.4213,74.9444,66.0385,43.495,81.6002,4685207526
000018.SZ,2016/10/13,9.824,6.8768,2017/11/17,1.2424,1.1737,1.1439,10.9837,1.3777,0.7397,5.911,24.7921,19.3459,80.6291,-8.6467,-8.9586,46.1005,39.2739,39.2739,26.5834,9.1434,26.5834,9.1434,-96.7659,-95.8414,-123.4596,-127.6009,923442740.9
000018.SZ,2016/8/1,10.1472,7.10304,2017/7/17,1.2665,1.2229,1.193,7.31,0.7073,0.3722,9.2385,23.3211,14.385,78.7425,55.516,40.2013,19.1649,54.8486,54.8486,91.0003,85.4213,91.0003,85.4213,74.9444,66.0385,43.495,81.6002,4685207526
000023.SZ,2016/10/18,29.5775,20.70425,2017/6/1,1.316,0.9197,0.8939,1.1447,0.8167,0.3738,3.1103,9.5822,4.866,72.76,-82.3165,64.8927,13.2792,21.1523,21.1523,16.2373,37.3328,16.2373,37.3328,-21.1908,230.9566,-16.5575,-11.2205,545542187.8
000030.SZ,2017/7/12,5.7486,4.02402,2018/9/10,1.592,1.3947,1.3628,7.3089,3.6387,1.0447,11.565,15.2335,11.0989,38.423,-8.2601,-2.4195,8.4243,11.6505,11.6505,11.7385,-10.3081,11.7385,-10.3081,-20.0293,-36.0205,-11.3697,-32.8143,7852536417
000034.SZ,2016/11/25,27.5764,19.30348,2017/7/20,1.1666,0.8201,0.6746,5.2455,4.1813,1.6354,0.7954,5.2796,7.4212,84.3908,-1.1669,-2.004,7.3853,122.8811,122.8811,19.4074,13.4978,19.4074,13.4978,-40.4394,59.7041,-53.4172,37.1781,15784658439
000034.SZ,2017/7/25,17.4673,12.22711,2018/8/20,0.9682,0.6366,0.5157,4.6244,4.7334,1.6907,0.8144,4.7475,7.7094,85.8616,23.4265,27.6779,4.8675,26.6167,26.6167,24.4123,9.3608,24.4123,9.3608,18.0474,27.0721,30.3726,39.0134,81858054493
000034.SZ,2017/7/28,16.426,11.4982,2019/1/23,0.9988,0.6787,0.573,11.8467,10.2046,4.1586,0.6304,4.0271,14.2504,85.1975,30.6393,-22.4108,7.0541,31.5708,31.5708,29.4618,40.358,29.4618,40.358,146.9688,162.7098,-58.4362,115.8339,21755299136
000034.SZ,2016/6/22,17.7621,12.43347,2018/8/20,0.9682,0.6366,0.5157,4.6244,4.7334,1.6907,0.8144,4.7475,7.7094,85.8616,23.4265,27.6779,4.8675,26.6167,26.6167,24.4123,9.3608,24.4123,9.3608,18.0474,27.0721,30.3726,39.0134,81858054493
000034.SZ,2016/8/4,27.0164,18.91148,2017/7/20,1.1666,0.8201,0.6746,5.2455,4.1813,1.6354,0.7954,5.2796,7.4212,84.3908,-1.1669,-2.004,7.3853,122.8811,122.8811,19.4074,13.4978,19.4074,13.4978,-40.4394,59.7041,-53.4172,37.1781,15784658439
000035.SZ,2016/8/8,6.43,4.501,2018/7/16,0.5178,0.4645,0.287,3.7253,2.3021,0.4339,10.5459,32.3764,2.8481,62.0229,30.051,30.4013,1.7425,59.2127,59.2127,88.3162,95.7772,88.3162,95.7772,6.2611,147.4189,39.0697,205.6567,1846883070
000035.SZ,2016/8/11,6.61,4.627,2018/7/16,0.5178,0.4645,0.287,3.7253,2.3021,0.4339,10.5459,32.3764,2.8481,62.0229,30.051,30.4013,1.7425,59.2127,59.2127,88.3162,95.7772,88.3162,95.7772,6.2611,147.4189,39.0697,205.6567,1846883070
000035.SZ,2017/3/10,7.28,5.096,2018/7/11,0.5178,0.4645,0.287,3.7253,2.3021,0.4339,10.5459,32.3764,2.8481,62.0229,30.051,30.4013,1.7425,59.2127,59.2127,88.3162,95.7772,88.3162,95.7772,6.2611,147.4189,39.0697,205.6567,1846883070
000035.SZ,2017/6/30,6.85,4.795,2018/7/12,0.5178,0.4645,0.287,3.7253,2.3021,0.4339,10.5459,32.3764,2.8481,62.0229,30.051,30.4013,1.7425,59.2127,59.2127,88.3162,95.7772,88.3162,95.7772,6.2611,147.4189,39.0697,205.6567,1846883070
000035.SZ,2017/6/15,6.87,4.809,2018/7/12,0.5178,0.4645,0.287,3.7253,2.3021,0.4339,10.5459,32.3764,2.8481,62.0229,30.051,30.4013,1.7425,59.2127,59.2127,88.3162,95.7772,88.3162,95.7772,6.2611,147.4189,39.0697,205.6567,1846883070
000035.SZ,2017/2/20,7.2,5.04,2018/7/11,0.5178,0.4645,0.287,3.7253,2.3021,0.4339,10.5459,32.3764,2.8481,62.0229,30.051,30.4013,1.7425,59.2127,59.2127,88.3162,95.7772,88.3162,95.7772,6.2611,147.4189,39.0697,205.6567,1846883070
000035.SZ,2016/12/16,7.55,5.285,2018/7/11,0.5178,0.4645,0.287,3.7253,2.3021,0.4339,10.5459,32.3764,2.8481,62.0229,30.051,30.4013,1.7425,59.2127,59.2127,88.3162,95.7772,88.3162,95.7772,6.2611,147.4189,39.0697,205.6567,1846883070
000038.SZ,2019/4/4,14.02,9.814,2019/5/28,6.7337,6.429,5.3737,9.0503,2.0191,0.4252,0.9537,6.5489,0.3543,11.8796,-84.7731,-85.441,-0.7488,-12.1246,-12.1246,-36.3606,-15.5492,-36.3606,-15.5492,-84.9324,29.7842,-91.223,31.5586,1083181934
000038.SZ,2017/3/2,24.7632,17.33424,2018/8/24,7.439,7.3299,5.9589,72.8925,2.3425,0.6424,10.4635,16.4107,4.0773,7.9213,-19.6619,-19.8341,1.6398,96.3177,96.3177,298.124,11.1074,298.124,11.1074,31.2144,56.1027,21.8655,50.6402,2569332957
000038.SZ,2019/2/21,13.23,9.261,2019/5/28,6.7337,6.429,5.3737,9.0503,2.0191,0.4252,0.9537,6.5489,0.3543,11.8796,-84.7731,-85.441,-0.7488,-12.1246,-12.1246,-36.3606,-15.5492,-36.3606,-15.5492,-84.9324,29.7842,-91.223,31.5586,1083181934
000038.SZ,2018/12/14,13.11,9.177,2019/5/28,6.7337,6.429,5.3737,9.0503,2.0191,0.4252,0.9537,6.5489,0.3543,11.8796,-84.7731,-85.441,-0.7488,-12.1246,-12.1246,-36.3606,-15.5492,-36.3606,-15.5492,-84.9324,29.7842,-91.223,31.5586,1083181934
000038.SZ,2018/10/12,11.81,8.267,2019/5/30,6.7337,6.429,5.3737,9.0503,2.0191,0.4252,0.9537,6.5489,0.3543,11.8796,-84.7731,-85.441,-0.7488,-12.1246,-12.1246,-36.3606,-15.5492,-36.3606,-15.5492,-84.9324,29.7842,-91.223,31.5586,1083181934
