,ts_code,start_date,is_release,release_date
1146,000150.SZ,2016-11-23,0.0,
1147,000150.SZ,2016-06-14,1.0,20161123
1155,000150.SZ,2016-09-05,0.0,
1192,000155.SZ,2016-01-22,1.0,20170725
1193,000155.SZ,2016-01-22,0.0,
1194,000155.SZ,2017-07-26,0.0,
1202,000157.SZ,2016-10-13,0.0,
1204,000158.SZ,2018-07-20,1.0,20190816
1205,000158.SZ,2018-08-16,1.0,20190816
1206,000158.SZ,2018-10-17,1.0,20190816
1207,000158.SZ,2017-08-17,1.0,20190816
1209,000158.SZ,2017-08-17,1.0,20190719
1210,000158.SZ,2017-08-17,0.0,
1211,000158.SZ,2019-06-27,0.0,
1212,000158.SZ,2018-05-15,1.0,20190527
1213,000158.SZ,2019-05-23,0.0,
1214,000158.SZ,2018-05-23,1.0,20190521
1215,000158.SZ,2019-05-20,0.0,
1216,000158.SZ,2018-05-15,0.0,
1217,000158.SZ,2018-05-15,1.0,20190521
1218,000158.SZ,2018-05-23,0.0,
1221,000158.SZ,2018-05-15,1.0,20190105
1222,000158.SZ,2019-05-09,0.0,
1223,000158.SZ,2018-10-17,0.0,
1224,000158.SZ,2018-03-13,1.0,20190320
1225,000158.SZ,2018-10-11,1.0,20190320
1226,000158.SZ,2018-10-17,1.0,20190320
1227,000158.SZ,2019-03-19,0.0,
1228,000158.SZ,2017-03-20,1.0,20190320
1229,000158.SZ,2018-03-13,1.0,20190312
1230,000158.SZ,2018-03-13,0.0,
1231,000158.SZ,2018-10-11,0.0,
1233,000158.SZ,2017-03-14,1.0,20190312
1234,000158.SZ,2018-10-11,1.0,20190312
1235,000158.SZ,2018-10-17,1.0,20190312
1236,000158.SZ,2018-12-27,0.0,
1237,000158.SZ,2018-10-16,1.0,20181224
1238,000158.SZ,2017-12-25,1.0,20181224
1239,000158.SZ,2018-08-06,1.0,20181224
1240,000158.SZ,2018-10-17,1.0,20181121
1241,000158.SZ,2018-10-11,1.0,20181121
1242,000158.SZ,2016-11-21,1.0,20181121
1245,000158.SZ,2018-11-20,0.0,
1251,000158.SZ,2018-10-16,0.0,
1255,000158.SZ,2018-08-16,0.0,
1256,000158.SZ,2018-08-06,0.0,
1257,000158.SZ,2018-08-01,0.0,
1258,000158.SZ,2018-07-20,0.0,
1259,000158.SZ,2018-03-14,1.0,20180601
1262,000158.SZ,2018-03-14,1.0,20180522
1264,000158.SZ,2018-04-27,0.0,
1265,000158.SZ,2018-03-14,0.0,
1268,000158.SZ,2018-03-08,0.0,
1269,000158.SZ,2017-12-25,0.0,
1270,000158.SZ,2016-12-28,1.0,20171225
1272,000158.SZ,2016-08-24,1.0,20170824
