ts_code,start_date,release_date,pledge_price,forcast_close_line,is_reach_close_line
000048.SZ,2019-01-28,,17.21,12.047,False
000048.SZ,2017-05-23,2018-03-27,25.13,17.590999999999998,False
000048.SZ,2017-12-19,2018-03-27,20.04,14.027999999999999,False
000048.SZ,2017-12-18,,19.9,13.929999999999998,False
000048.SZ,2017-12-05,,22.6,15.82,False
000048.SZ,2017-11-20,,22.55,15.785,False
000048.SZ,2017-11-16,,22.31,15.616999999999997,False
000048.SZ,2016-03-16,2017-02-17,30.39,21.273,False
000048.SZ,2016-03-10,2017-02-17,30.89,21.622999999999998,False
000048.SZ,2016-02-23,2017-02-17,35.37,24.758999999999997,False
000048.SZ,2016-03-16,2017-01-17,30.39,21.273,False
000048.SZ,2016-03-11,2017-01-17,31.12,21.784,False
000048.SZ,2016-01-20,2017-01-17,33.8,23.659999999999997,False
000048.SZ,2016-02-02,2017-01-17,36.7,25.69,False
000048.SZ,2016-01-20,2016-09-30,33.8,23.659999999999997,False
000055.SZ,2017-05-19,2018-03-12,7.2741,5.091869999999999,False
000056.SZ,2016-08-16,2018-08-14,12.8432,8.990239999999998,False
000056.SZ,2016-07-29,2018-06-08,12.1175,8.482249999999999,False
000056.SZ,2017-04-12,2018-04-20,12.4952,8.74664,False
000056.SZ,2016-07-29,2017-10-31,12.1175,8.482249999999999,False
000056.SZ,2016-08-04,2017-10-31,12.4058,8.684059999999999,False
000056.SZ,2016-07-21,2017-08-11,12.5847,8.809289999999999,False
000056.SZ,2016-07-29,2017-08-02,12.1175,8.482249999999999,False
000056.SZ,2016-07-29,2017-08-01,12.1175,8.482249999999999,False
000056.SZ,2016-07-29,2017-06-12,12.1175,8.482249999999999,False
000056.SZ,2016-01-28,2017-02-08,12.073,8.4511,False
000060.SZ,2019-01-31,,3.9019999999999997,2.7314,False
000060.SZ,2018-07-19,2019-01-04,4.3639,3.0547299999999997,False
000060.SZ,2018-07-19,,4.3639,3.0547299999999997,False
000062.SZ,2019-06-19,2019-06-28,13.61,9.527,False
000062.SZ,2019-06-19,,13.61,9.527,False
000063.SZ,2018-12-20,,18.86,13.201999999999998,False
000068.SZ,2016-05-17,2017-01-06,9.48,6.636,False
000078.SZ,2019-04-04,,4.4842,3.1389400000000003,False
000078.SZ,2019-01-29,,2.9530000000000003,2.0671,False
000078.SZ,2019-01-08,,3.0922,2.1645399999999997,False
000078.SZ,2016-12-09,2018-04-09,6.5413,4.57891,False
000078.SZ,2016-06-23,2017-06-15,7.0422,4.92954,False
000078.SZ,2016-07-01,2017-06-14,7.2092,5.04644,False
000078.SZ,2016-07-04,2016-12-16,7.1306,4.99142,False
000078.SZ,2016-07-04,2016-09-30,7.1306,4.99142,False
000100.SZ,2018-05-31,,2.9634,2.07438,False
000150.SZ,2018-10-22,2018-11-06,8.8701,6.2090700000000005,False
000150.SZ,2016-11-08,2018-10-17,15.6499,10.95493,False
000150.SZ,2016-12-27,2017-12-26,15.66,10.962,False
000150.SZ,2016-11-08,2017-11-28,15.6499,10.95493,False
000150.SZ,2016-12-01,2017-11-28,17.0767,11.953689999999998,False
000150.SZ,2016-06-01,2017-07-07,13.7239,9.606729999999999,False
000150.SZ,2016-12-12,2017-07-06,16.1188,11.283159999999999,False
000150.SZ,2016-06-14,2017-06-15,12.5391,8.77737,False
000150.SZ,2016-06-14,2016-12-12,12.5391,8.77737,False
000150.SZ,2016-06-14,2016-11-23,12.5391,8.77737,False
000155.SZ,2016-01-22,2017-07-25,6.62,4.6339999999999995,False
000157.SZ,2016-10-13,,3.9785,2.78495,False
000158.SZ,2018-07-20,2019-08-16,5.83,4.0809999999999995,False
000158.SZ,2018-08-16,2019-08-16,5.45,3.815,False
000158.SZ,2018-10-17,2019-08-16,4.13,2.8909999999999996,False
000158.SZ,2019-06-27,,5.56,3.8919999999999995,False
000158.SZ,2019-05-23,,5.69,3.983,False
000158.SZ,2019-05-20,,5.81,4.066999999999999,False
000158.SZ,2019-05-09,,5.52,3.8639999999999994,False
000158.SZ,2018-10-17,,4.13,2.8909999999999996,False
000158.SZ,2018-10-11,2019-03-20,4.85,3.3949999999999996,False
000158.SZ,2018-10-17,2019-03-20,4.13,2.8909999999999996,False
000158.SZ,2019-03-19,,6.4,4.4799999999999995,False
000158.SZ,2018-10-11,,4.85,3.3949999999999996,False
000158.SZ,2018-10-11,2019-03-12,4.85,3.3949999999999996,False
000158.SZ,2018-10-17,2019-03-12,4.13,2.8909999999999996,False
000158.SZ,2018-12-27,,5.0,3.5,False
000158.SZ,2018-10-16,2018-12-24,4.02,2.8139999999999996,False
000158.SZ,2018-08-06,2018-12-24,5.48,3.836,False
000158.SZ,2018-10-17,2018-11-21,4.13,2.8909999999999996,False
000158.SZ,2018-10-11,2018-11-21,4.85,3.3949999999999996,False
000158.SZ,2018-11-20,,5.47,3.8289999999999997,False
000158.SZ,2018-10-16,,4.02,2.8139999999999996,False
000158.SZ,2018-08-16,,5.45,3.815,False
000158.SZ,2018-08-06,,5.48,3.836,False
000158.SZ,2018-07-20,,5.83,4.0809999999999995,False
000158.SZ,2018-03-14,2018-06-01,7.8583,5.5008099999999995,False
000158.SZ,2018-03-14,2018-05-22,7.8583,5.5008099999999995,False
000158.SZ,2016-12-28,2017-12-25,9.0307,6.321489999999999,False
000158.SZ,2016-08-24,2017-08-24,10.1938,7.135659999999999,False
000158.SZ,2016-05-12,2017-01-18,9.1087,6.3760900000000005,False
