ts_code,start_date,release_date,pledge_price,forcast_close_line,is_reach_close_line,close_date
000038.SZ,2016-07-04,2016-09-22,35.782,25.047399999999996,False,
000038.SZ,2016-07-04,,35.782,25.047399999999996,True,2017-01-16
000038.SZ,2016-07-04,2016-09-27,35.782,25.047399999999996,False,
000038.SZ,2016-09-20,,27.8426,19.489819999999998,True,2017-05-11
000038.SZ,2016-09-29,,27.4462,19.21234,True,2018-01-16
000038.SZ,2016-07-04,2016-09-20,35.782,25.047399999999996,False,
000038.SZ,2016-09-27,,27.1962,19.03734,True,2018-01-17
000038.SZ,2016-09-21,,27.928,19.549599999999998,True,2017-05-11
000038.SZ,2016-08-25,,28.5865,20.01055,True,2017-05-11
000040.SZ,2019-06-26,,6.6162,4.63134,False,
000040.SZ,2018-12-21,,7.8623,5.50361,True,2019-08-01
000040.SZ,2016-09-20,,13.0057,9.10399,True,2018-07-06
000042.SZ,2019-07-17,,9.57,6.699,False,
000042.SZ,2019-07-12,,9.6,6.72,False,
000042.SZ,2016-06-07,2019-06-18,15.1706,10.61942,True,2019-05-17
000042.SZ,2017-06-01,2019-05-23,16.742,11.7194,True,2018-11-30
000042.SZ,2019-01-04,2019-05-23,10.5138,7.359659999999999,False,
000042.SZ,2019-05-24,,9.9495,6.96465,False,
000042.SZ,2017-05-23,2019-04-25,16.9071,11.834969999999998,True,2018-11-30
000042.SZ,2019-01-04,2019-04-25,10.5138,7.359659999999999,False,
000042.SZ,2019-03-19,,12.9195,9.04365,True,2019-08-05
000042.SZ,2019-03-06,,12.9888,9.09216,True,2019-08-02
000042.SZ,2019-01-04,,10.5138,7.359659999999999,False,
000042.SZ,2018-12-25,,11.0187,7.71309,False,
000042.SZ,2017-05-23,2018-11-28,16.9071,11.834969999999998,False,
000042.SZ,2017-06-01,,16.742,11.7194,True,2018-11-30
000042.SZ,2017-05-23,,16.9071,11.834969999999998,True,2018-11-30
000042.SZ,2017-06-01,2018-11-28,16.742,11.7194,False,
000042.SZ,2017-11-17,2018-11-12,15.1814,10.62698,False,
000042.SZ,2018-11-09,,12.0087,8.406089999999999,False,
000042.SZ,2018-10-31,,12.4938,8.745659999999999,True,2019-08-06
000042.SZ,2018-10-22,,12.9195,9.04365,True,2019-08-05
000042.SZ,2016-05-19,2018-10-10,14.6908,10.28356,False,
000042.SZ,2017-05-22,2018-05-22,17.1015,11.97105,False,
000042.SZ,2017-11-17,,15.1814,10.62698,True,2019-05-17
000042.SZ,2016-01-07,2017-05-25,18.1356,12.69492,False,
000042.SZ,2017-05-22,,17.1015,11.97105,True,2018-11-29
000042.SZ,2016-01-07,2017-05-18,18.1356,12.69492,False,
000042.SZ,2017-04-13,,18.3647,12.855289999999998,True,2018-10-24
000042.SZ,2016-06-07,,15.1706,10.61942,True,2019-05-17
000042.SZ,2016-05-19,,14.6908,10.28356,True,2019-05-20
000046.SZ,2017-03-07,2019-04-01,8.77,6.138999999999999,True,2018-06-19
000046.SZ,2017-04-18,2019-04-01,8.6861,6.08027,True,2018-06-19
000046.SZ,2017-11-20,2019-04-01,6.5741,4.601869999999999,True,2018-07-04
000046.SZ,2017-11-21,2018-12-04,7.0681,4.94767,True,2018-07-03
000046.SZ,2018-06-15,2019-04-02,6.289,4.402299999999999,False,
000046.SZ,2018-06-15,2019-04-01,6.289,4.402299999999999,False,
000046.SZ,2018-06-21,2018-12-04,5.7855,4.049849999999999,False,
000046.SZ,2018-07-03,2019-04-01,4.7975,3.35825,False,
000046.SZ,2018-07-03,2019-04-02,4.7975,3.35825,False,
000046.SZ,2018-10-22,2019-04-15,4.8519,3.3963299999999994,False,
000046.SZ,2018-11-22,2019-04-02,5.3975,3.77825,False,
000046.SZ,2018-11-22,2019-04-01,5.3975,3.77825,False,
000046.SZ,2019-04-16,,7.4533,5.2173099999999994,True,2019-07-08
000046.SZ,2019-03-26,,7.0733,4.951309999999999,True,2019-08-01
000046.SZ,2016-09-08,2018-10-18,9.7123,6.79861,True,2017-11-17
000046.SZ,2018-07-05,2018-10-18,4.275,2.9925,False,
000046.SZ,2018-07-05,2018-11-16,4.275,2.9925,False,
000046.SZ,2016-09-12,2018-11-16,9.5258,6.66806,True,2018-04-27
000046.SZ,2016-09-12,,9.5258,6.66806,True,2018-04-27
000046.SZ,2018-09-06,,5.2709,3.6896299999999997,False,
000046.SZ,2018-09-10,,5.1345,3.59415,False,
000046.SZ,2018-10-08,,4.9006,3.43042,False,
000046.SZ,2018-10-09,,4.8227,3.37589,False,
000046.SZ,2018-10-12,,4.2966,3.0076199999999997,False,
000046.SZ,2018-10-22,,4.8519,3.3963299999999994,False,
000046.SZ,2018-11-16,,5.2709,3.6896299999999997,False,
000046.SZ,2018-11-22,,5.3975,3.77825,False,
000046.SZ,2018-11-29,,4.8032,3.36224,False,
000046.SZ,2018-06-19,2018-10-18,5.8995,4.12965,False,
000046.SZ,2018-06-19,2018-11-16,5.8995,4.12965,False,
000046.SZ,2018-06-29,2018-07-25,5.301,3.7106999999999997,False,
000046.SZ,2018-07-03,,4.7975,3.35825,False,
000046.SZ,2018-07-03,2018-07-24,4.7975,3.35825,False,
000046.SZ,2018-07-05,,4.275,2.9925,False,
000046.SZ,2018-07-06,2018-07-25,4.388999999999999,3.0722999999999994,False,
000046.SZ,2018-07-12,,5.2155,3.6508499999999993,False,
000046.SZ,2018-07-26,,6.099,4.269299999999999,False,
000046.SZ,2016-09-08,2018-07-25,9.7123,6.79861,True,2017-11-17
000046.SZ,2017-08-29,2018-07-25,7.8661,5.50627,True,2018-06-27
000046.SZ,2018-06-28,2018-07-24,5.263,3.6840999999999995,False,
000046.SZ,2018-06-29,,5.301,3.7106999999999997,False,
000046.SZ,2018-06-28,,5.263,3.6840999999999995,False,
000046.SZ,2018-06-15,,6.289,4.402299999999999,True,2019-08-13
000046.SZ,2018-06-19,,5.8995,4.12965,False,
000046.SZ,2018-06-20,,5.662000000000001,3.9634000000000005,False,
000046.SZ,2018-06-21,,5.7855,4.049849999999999,False,
000046.SZ,2018-06-25,,5.776,4.0432,False,
