,code,pledge_date,alarm_line,close_position_line,price_on_pledge,total_pledge_nb,total_share_ratio,total_stock_ratio,close_position_date,is_st
375,000908.SZ,2016-07-12,7.82,6.84,12.22,3056.0,69.22,3.47,2017-11-13,0
376,000908.SZ,2016-07-12,7.82,6.84,12.22,3056.0,69.22,3.47,2017-11-13,0
377,000908.SZ,2016-07-12,7.82,6.84,12.22,1641.0,37.17,1.87,2017-11-13,0
378,000908.SZ,2016-07-12,7.82,6.84,12.22,1641.0,37.17,1.87,2017-11-13,0
379,000908.SZ,2016-07-12,7.82,6.84,12.22,10560.0,60.63,12.0,2017-11-13,0
380,000908.SZ,2016-06-22,7.58,6.64,11.85,2312.0,52.37,2.63,2017-11-16,0
381,000908.SZ,2016-06-22,7.58,6.64,11.85,7306.5,42.81,8.3,2017-11-16,0
382,000908.SZ,2016-06-22,7.58,6.64,11.85,7306.5,42.81,8.3,2017-11-16,0
383,000908.SZ,2016-06-22,7.58,6.64,11.85,7306.5,42.81,8.3,2017-11-16,0
384,000908.SZ,2016-06-22,7.58,6.64,11.85,3056.0,69.22,3.47,2017-11-16,0
385,000908.SZ,2016-04-29,6.91,6.05,10.8,2312.0,52.37,2.63,2017-11-23,0
386,000908.SZ,2016-04-27,7.21,6.31,11.27,3056.0,69.22,3.47,2017-11-17,0
387,000910.SZ,2018-06-05,13.07,11.44,20.42,23636.0,93.72,42.57,2018-10-09,0
388,000910.SZ,2018-06-05,13.07,11.44,20.42,23636.0,93.72,42.57,2018-10-09,0
389,000910.SZ,2018-06-05,13.07,11.44,20.42,23636.0,93.72,42.57,2018-10-09,0
390,000910.SZ,2018-06-05,13.07,11.44,20.42,23636.0,93.72,42.57,2018-10-09,0
391,000910.SZ,2018-06-05,13.07,11.44,20.42,23636.0,93.72,42.57,2018-10-09,0
392,000910.SZ,2018-03-30,12.71,11.12,19.86,23636.0,93.72,42.57,2018-10-11,0
393,000910.SZ,2018-03-30,12.71,11.12,19.86,23636.0,93.72,42.57,2018-10-11,0
394,000910.SZ,2018-03-29,12.75,11.16,19.93,23636.0,93.72,42.57,2018-10-11,0
395,000910.SZ,2018-02-28,13.55,11.86,21.18,23800.0,94.37,42.86,2018-10-08,0
396,000910.SZ,2018-02-28,13.55,11.86,21.18,23800.0,94.37,42.86,2018-10-08,0
397,000910.SZ,2018-02-28,13.55,11.86,21.18,23800.0,94.37,42.86,2018-10-08,0
398,000910.SZ,2017-11-24,13.64,11.93,21.31,23800.0,94.37,42.86,2018-10-08,0
399,000910.SZ,2017-08-03,13.77,12.05,21.51,22500.0,89.21,42.39,2018-09-18,0
400,000910.SZ,2017-08-03,13.77,12.05,21.51,22500.0,89.21,42.39,2018-09-18,0
401,000910.SZ,2017-06-21,15.29,13.38,23.88,22500.0,89.21,42.39,2018-07-23,0
402,000923.SZ,2017-09-14,18.38,16.08,28.72,5825.0,93.2,8.92,2018-06-08,0
