ts_code,forcast_close_line
002139.SZ,4.1746599999999985
002142.SZ,11.648769999999999
002145.SZ,2.15922
002146.SZ,8.065539999999999
002151.SZ,18.552310000000002
002154.SZ,2.46624
002156.SZ,6.58427
002157.SZ,14.254379999999998
002159.SZ,13.902000000000001
002160.SZ,2.84445
002161.SZ,5.3969999999999985
002162.SZ,2.471
002164.SZ,2.072
002165.SZ,3.26879
002166.SZ,5.62268
002167.SZ,5.928999999999999
002169.SZ,4.00281
002170.SZ,2.394
002171.SZ,4.634
002172.SZ,3.1710000000000003
002174.SZ,12.95
002175.SZ,1.4069999999999998
002176.SZ,3.388
002177.SZ,3.15
002180.SZ,20.7816
002182.SZ,5.45328
002183.SZ,3.86911
002191.SZ,9.63963
002192.SZ,13.292999999999996
002193.SZ,7.669199999999999
002195.SZ,2.51853
002196.SZ,4.823
002197.SZ,6.43545
002198.SZ,4.144
002199.SZ,6.1179999999999986
002200.SZ,4.725
002201.SZ,5.656000000000001
002202.SZ,9.21767
002203.SZ,7.445549999999999
002204.SZ,2.57628
002206.SZ,3.39381
002212.SZ,9.968
002214.SZ,6.0402999999999984
002215.SZ,5.404
002216.SZ,5.0242499999999986
002217.SZ,4.654579999999998
002218.SZ,2.31
002218.SZ,2.31
002221.SZ,6.237
002223.SZ,16.458889999999997
002224.SZ,5.00409
002225.SZ,3.8906
002228.SZ,3.68844
002229.SZ,6.073479999999999
002231.SZ,4.59305
002233.SZ,8.5141
002234.SZ,7.902999999999999
002235.SZ,6.783
002236.SZ,11.886
002237.SZ,7.32529
002239.SZ,1.596
002240.SZ,6.9369999999999985
002241.SZ,5.78837
002242.SZ,13.755
002244.SZ,2.8721
002245.SZ,3.04136
002249.SZ,2.94
002251.SZ,5.572349999999999
002253.SZ,10.2277
002255.SZ,2.8349999999999995
002261.SZ,3.8080000000000003
002262.SZ,7.8679999999999986
002266.SZ,3.40655
002269.SZ,2.128
002271.SZ,14.527729999999998
002272.SZ,3.5
002273.SZ,6.35082
002274.SZ,2.74064
002276.SZ,3.752
002278.SZ,4.297999999999999
002279.SZ,5.222
002280.SZ,2.842
002282.SZ,6.9139
002283.SZ,2.625
002284.SZ,3.969
002285.SZ,3.8966199999999995
002286.SZ,4.69406
002287.SZ,13.88464
002288.SZ,3.9410000000000003
002291.SZ,4.2559999999999985
002292.SZ,4.865
002293.SZ,7.120539999999999
002294.SZ,19.12659
002295.SZ,5.824839999999999
002296.SZ,4.627
002298.SZ,5.9933299999999985
002299.SZ,12.846889999999998
002301.SZ,7.482579999999999
002303.SZ,3.91118
002308.SZ,3.682
002309.SZ,5.8519999999999985
002310.SZ,4.7846400000000004
002311.SZ,20.83025
002312.SZ,2.7089999999999996
002313.SZ,12.06849
002315.SZ,11.004000000000001
002316.SZ,4.8580000000000005
002317.SZ,7.463329999999999
002318.SZ,5.443199999999999
002321.SZ,4.319
002322.SZ,6.793779999999999
002324.SZ,7.167999999999998
002325.SZ,2.05121
002326.SZ,6.45519
002327.SZ,4.89412
002328.SZ,2.54835
002329.SZ,3.0380000000000003
